"Data","Estrangeiro","Institucional","Pessoa física","Inst. Financeira","Outros"
"19/05/2026","-903,34 mi","514,22 mi","514,03 mi","47,45 mi","-172,36 mi"
"18/05/2026","-891,86 mi","570,10 mi","283,78 mi","522,08 mi","-484,10 mi"
"15/05/2026","-2.472,66 mi","5.188,48 mi","844,46 mi","-3.103,15 mi","-457,13 mi"
"14/05/2026","-717,54 mi","984,04 mi","59,91 mi","-26,73 mi","-299,67 mi"
"13/05/2026","-1.196,97 mi","-75,41 mi","446,51 mi","887,75 mi","-61,88 mi"
"12/05/2026","-934,38 mi","1.007,08 mi","329,26 mi","76,15 mi","-478,10 mi"
"11/05/2026","-1.126,67 mi","242,48 mi","395,89 mi","187,37 mi","300,93 mi"
"08/05/2026","118,78 mi","-493,04 mi","268,03 mi","230,93 mi","-124,71 mi"
"07/05/2026","-1.157,79 mi","154,77 mi","741,96 mi","141,96 mi","119,10 mi"
"06/05/2026","-285,43 mi","-37,28 mi","52,78 mi","250,62 mi","19,30 mi"
"05/05/2026","-472,12 mi","560,43 mi","239,33 mi","-198,54 mi","-129,10 mi"
"04/05/2026","-1.395,76 mi","655,45 mi","223,05 mi","503,39 mi","13,87 mi"
"30/04/2026","-1.750,62 mi","1.015,86 mi","297,21 mi","396,29 mi","41,26 mi"
"29/04/2026","-1.939,67 mi","834,63 mi","587,21 mi","153,35 mi","364,48 mi"
"28/04/2026","-1.295,63 mi","680,26 mi","257,18 mi","355,39 mi","2,81 mi"
"27/04/2026","-423,91 mi","63,24 mi","331,26 mi","205,89 mi","-176,49 mi"
"24/04/2026","-1.546,18 mi","576,14 mi","280,79 mi","459,05 mi","230,22 mi"
"23/04/2026","-917,97 mi","-155,73 mi","534,09 mi","534,26 mi","5,34 mi"
"22/04/2026","-459,99 mi","-464,47 mi","877,71 mi","-21,51 mi","68,26 mi"
"20/04/2026","32,13 mi","-384,55 mi","221,93 mi","143,34 mi","-12,85 mi"
"17/04/2026","-2.421,61 mi","2.486,65 mi","-1.077,02 mi","749,60 mi","262,38 mi"
"16/04/2026","-771,22 mi","-188,94 mi","253,56 mi","723,43 mi","-16,84 mi"
"15/04/2026","-1.031,98 mi","111,81 mi","372,89 mi","487,69 mi","59,59 mi"
"14/04/2026","1.262,67 mi","-1.704,89 mi","-6,68 mi","238,43 mi","210,47 mi"
"13/04/2026","417,67 mi","-507,42 mi","-51,78 mi","93,66 mi","47,87 mi"
"10/04/2026","2.473,43 mi","-1.686,12 mi","-551,71 mi","-184,62 mi","-50,97 mi"
"09/04/2026","8.398,42 mi","-7.442,19 mi","-958,16 mi","74,08 mi","-72,15 mi"
"08/04/2026","2.614,10 mi","-1.222,88 mi","-1.270,18 mi","-7,07 mi","-113,98 mi"
"07/04/2026","-1.072,85 mi","257,21 mi","331,91 mi","249,84 mi","233,89 mi"
"06/04/2026","-176,87 mi","-88,28 mi","123,84 mi","86,01 mi","55,30 mi"
"02/04/2026","376,94 mi","-270,27 mi","-114,99 mi","-50,48 mi","58,80 mi"
"01/04/2026","1.411,86 mi","-1.354,65 mi","-406,07 mi","301,00 mi","47,86 mi"
"31/03/2026","2.180,20 mi","-1.013,17 mi","-854,33 mi","-305,64 mi","-7,06 mi"
"30/03/2026","603,41 mi","-724,56 mi","40,38 mi","27,22 mi","53,55 mi"
"27/03/2026","975,26 mi","-1.112,65 mi","292,35 mi","-196,16 mi","41,20 mi"
"26/03/2026","-187,84 mi","-652,09 mi","332,28 mi","382,14 mi","125,51 mi"
